mass__g_,reclat,reclong
16.07,-72.96433,160.68992
0.74,-72.95222,160.50161
0.95,-72.95228,160.50106
0.9,-72.95228,160.50106
15.1,-72.95388,160.45022
8.5,-72.95295,160.47652
12.9,-72.95243,160.48522
11.7,-72.95312,160.49633
3.5,-72.95215,160.50155
4.3,-72.9523,160.5038
0.9,-72.95243,160.49085
15.2,-72.96418,160.51073
2.5,-72.96663,160.52762
0.6,-72.95193,160.4563
9.6,-72.95488,160.47328
1.9,-72.95488,160.47328
6.8,-72.95488,160.47328
1.4,-72.95488,160.47328
4.9,-72.95488,160.47328
2.0,-72.95488,160.47328
1.1,-72.95488,160.47328
16.2,-72.95488,160.47328
11.1,-72.95488,160.47328
9.0,-72.95488,160.47328
3.8,-72.95488,160.47328
10.5,-72.95488,160.47328
18.2,-72.95551,160.44071
1.4,-72.95488,160.47328
10.8,-72.95488,160.47328
2.7,-72.95488,160.47328
16.5,-72.9535,160.51411
7.2,-72.95315,160.52359
8.4,-72.95261,160.5268
3.51,-72.95533,160.43857
3.7,-72.95386,160.50646
5.3,-72.95341,160.51288
3.7,-72.95404,160.53659
4.3,-72.95399,160.44545
9.2,-72.95511,160.48444
13.8,-72.95341,160.52175
7.22,-72.95417,160.50325
10.84,-72.95489,160.44469
3.56,-72.95488,160.47328
0.32,-72.95488,160.47328
7.5,-72.95488,160.47328
5.88,-72.95488,160.47328
0.66,-72.95591,160.54133
10.19,-72.95139,160.45667
7.8,-72.98717,160.40433
7.3,-72.98883,160.40767
0.52,-72.99056,160.41083
11.72,-72.99306,160.41306
3.6,-72.99133,160.417
6.3,-72.99056,160.40361
1.7,-72.98917,160.40861
3.5,-72.99667,160.41722
1.9,-72.98833,160.40861
2.1,-72.99667,160.41722
6.3,-72.9525,160.50833
0.5,-72.95111,160.50833
17.4,-72.98944,160.41222
2.8,-72.98917,160.40889
2.5,-72.95389,160.44833
1.4,-72.95333,160.5225
0.6,-72.98889,160.40722
0.5,-72.98833,160.40722
7.8,-72.98833,160.40667
1.1,-72.98972,160.40667
8.9,-72.98944,160.4075
0.8,-72.98667,160.40861
1.0,-72.98972,160.40944
2.9,-72.98889,160.40611
1.8,-72.98861,160.40889
6.6,-72.98861,160.40694
8.9,-72.98972,160.40667
4.0,-72.98972,160.40667
6.1,-72.99278,160.40444
4.2,-72.99167,160.40472
1.8,-72.99028,160.405
0.7,-72.99611,160.42556
10.7,-72.995,160.4
14.1,-72.99306,160.40056
4.4,-72.995,160.40194
0.9,-72.99472,160.40167
10.1,-72.99417,160.39944
0.3,-72.9925,160.40944
127.9,-72.97417,160.45361
0.3,-72.99194,160.41111
1.9,-72.98889,160.40306
19.6,-72.9625,160.57
4650.0,32.7,-101.6
392.0,32.00415,-110.37503
5.3,-86.93333,-148.55
4788.0,38.26667,-95.25
8480.0,39.61667,-98.7
383.9,-82.5,155.5
340.6,-82.5,155.5
129.3,-82.5,155.5
375.0,29.65972,20.08611
57300.0,36.3,-104.0
27000.0,-23.55,15.03333
378.8,35.89,-114.16667
11000.0,13.26667,5.4
5700.0,34.8,-103.31667
16.2,-86.71667,-141.5
697.5,-86.71667,-141.5
2309.8,-86.71667,-141.5
260.4,-86.71667,-141.5
60.8,-86.71667,-141.5
69.3,-86.71667,-141.5
35.1,-86.71667,-141.5
66.94,26.77133,26.54283
45.0,39.49133,-112.942
1342.4,-85.66667,175.0
265.2,-85.66667,175.0
202.2,-85.66667,175.0
122.6,-85.66667,175.0
2.24,-73.09806,75.17833
25.94,-73.08972,75.18944
6.17,-73.09806,75.20917
3.4,-73.08583,75.2075
0.5,-73.07444,75.27417
2.16,-73.00639,75.19222
56.9,-72.99444,75.20778
1.36,-72.99167,75.22778
1.76,-72.99917,75.23889
0.94,-72.986111,75.231944
7.91,-72.99917,75.20278
1.48,-72.99583,75.20972
20.0,-73.01389,75.27083
1.12,-72.99639,75.21278
3.02,-73.00361,75.25278
5.32,-72.99583,75.2275
